pdbid	crylig_smiles	crylig_heavy_atom_number
4ryg	COCCCOc1cc(C(=O)N(C[C@@H]2C[NH2+]C[C@H]2NS(=O)(=O)Cc2ccccc2)C(C)C)ccc1OC	37
4rz1	COCCCOc1cc(C(=O)N(C[C@@H]2C[NH2+]C[C@H]2OC(=O)NCc2ccccc2)C(C)C)ccc1OC	37
4xx4	CC(C)[C@]1(C)CC(=O)[N+](Cc2cccc(N3C[C@@H](c4ccccc4)CC3=O)c2)=C(N)N1	31
5sz9	Cc1ccc(C(=O)N2CCCCCC2)c(NCc2ccco2)n1	23
5kos	COCCCNc1nc(C(C)(C)C)ncc1C(=O)N(CC(C)C)[C@@H]1C[NH2+]C[C@H](C(=O)N2CCOCC2)C1	37
5sy2	CCN(C(=O)c1cnc(C)nc1NCc1ccco1)[C@H]1CCC[NH2+]C1	25
5koq	CC(C)CN(C(=O)c1cnc(C(C)(C)C)nc1NCc1ccco1)[C@H]1CCC[NH2+]C1	30
1bil	CC(C)C[C@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@@H](CC(=O)N(CC(=O)N(C)C)[C@@H](C)c1ccccc1)Cc1csc(N)n1	45
3km4	C[NH2+]C[C@H](CC1CCCCC1)NC(=O)N1CCC[C@@H]([C@@](O)(CCCNC(C)=O)c2cccc(Cl)c2)C1	36
6dk1	CC(C)=CC[N@@H+]1CC[C@]2(C)c3cc(O)ccc3C[C@H]1[C@H]2C	21
5hk2	O=C(N[C@H]1CC[N@H+](Cc2ccccc2)CC1)c1ccc(I)cc1	23
4xar	[NH3+][C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21	13
5cnm	[NH3+][C@@]1(C(=O)O)C[C@@H](Sc2nnc[nH]2)[C@H]2[C@H](C(=O)O)[C@H]21	19
6b7h	COc1cccc(C(=O)N[C@H]2C[C@@]([NH3+])(C(=O)O)[C@@H]3[C@@H](C(=O)O)[C@H]23)c1	24
4j51	O=C(COc1ccc(-c2oc3cc(O)c(C(=O)O)cc3c2C#Cc2cccc(Cl)c2)cc1)NC1CC1	36
3sl4	CCNC(=O)N1CCc2c(sc(NC(=O)Cc3ccccc3)c2C(=O)OCC)C1	29
1y2d	CCOC(=O)c1c(C)nn(-c2ccc(OC)cc2)c1C	20
2qyn	O=C(O)c1ccc(-c2cc3cccnc3c(-c3cccc([N+](=O)[O-])c3)n2)cc1	28
3sl8	CCOC(=O)N1CCc2c(sc(NC(=O)Cc3cccs3)c2C(=O)OC2CCCC2)C1	31
3g4l	O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1	26
3g58	O=[N+]([O-])c1cccc(-c2cc(Cc3ccncc3)cc3cccnc23)c1	26
1zkn	CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21	16
1xor	COc1cc(-c2ccc(=O)[nH]n2)ccc1OC(F)F	19
3g4k	COc1ccc([C@@H]2CNC(=O)C2)cc1OC1CCCC1	20
4wcu	COc1ccc(C(=O)Cc2c(Cl)cncc2Cl)c(OCC(=O)NCc2ccccc2)c1OC	33
1xon	COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1	25
6f8u	C[C@@H]1CN(C(=O)CO/N=C/c2ccc(OC(F)F)c(OC3CCCC3)c2)C[C@@H](C)O1	30
6f6u	COc1ccc(/C=N/OCC(=O)N2C[C@H](C)O[C@H](C)C2)cc1OC1CCCC1	28
1xoq	O=C(Nc1c(Cl)cncc1Cl)c1ccc(OC(F)F)c(OCC2CC2)c1	26
5tkb	CNc1cc(Nc2c(F)c(F)cc(F)c2F)nn2c(C(=O)NC[C@@](C)(O)CO)cnc12	31
5wqa	COc1ccc(C2(c3ccc(OC)cc3)c3cc(O)ccc3-c3ccc(C=O)c(C#Cc4ccc(O)cc4)c32)cc1	41
1y2b	CCOC(=O)c1c(C)n[nH]c1C	12
1xom	COc1ccc([C@]2(C#N)CC[C@@H](C(=O)O)CC2)cc1OC1CCCC1	25
1oyn	COc1ccc([C@H]2CNC(=O)C2)cc1OC1CCCC1	20
1bzf	COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC	27
1dis	COc1cc(Cc2cnc(N)nc2N)cc(OCCC[C@@H](CCC(=O)O)C(=O)O)c1Br	31
1so2	C[C@@H]1CC(=O)NN=C1c1ccc(NC2=C(Cc3cccc(I)c3)C(=O)CCC2)cc1	30
1soj	CC(C)Cn1c(=O)n(C)c(=O)c2nc[nH]c21	16
2gmv	CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2nc(Cc3ccc(NS(=O)(=O)c4cn(C)cn4)cc3)[nH]c21	40
1nhx	CCCCn1c(=O)n(Cc2ccccc2F)c(=O)c2nc(Cc3ccc(NC(C)=O)cc3)[nH]c21	34
3s2v	[NH3+][C@@H](Cn1c(=O)n(Cc2ccsc2C(=O)O)c(=O)c2cscc21)C(=O)O	26
4dld	[NH3+][C@@H](Cc1cc(Cl)c([N+](=O)[O-])cc1CCC(=O)O)C(=O)O	21
2f35	[NH3+][C@@H](Cn1ccc(=O)n(Cc2ccccc2C(=O)O)c1=O)C(=O)O	24
2f34	Cc1cn(C[C@H]([NH3+])C(=O)O)c(=O)n(Cc2ccsc2C(=O)O)c1=O	24
1vso	CC(C)(C)c1onc(OC[PH](O)(O)O)c1C[C@H]([NH3+])C(=O)O	21
4e0x	C=C(C)[C@H]1C[NH2+][C@H](C(=O)O)[C@H]1CC(=O)O	15
5m2v	O=C(O)c1ccccc1O[C@H]1C[NH2+][C@H](C(=O)O)C1	18
4ymb	CCC[C@@H]1C[NH2+][C@H](C(=O)O)[C@H]1c1cccc(C(=O)O)c1	20
2pbw	C/C(=C/C=C/[C@@H](C)C(=O)O)[C@H]1C[NH2+][C@H](C(=O)O)[C@H]1CC(=O)O	22
1b8n	Nc1nc2c([C@@H]3[NH2+][C@H](CO)[C@@H](O)[C@H]3O)c[nH]c2c(=O)[nH]1	20
1a9q	O=c1[nH]cnc2[nH]cnc12	10
1lv8	C[C@@H](Cn1cnc2c(N)nc(N)nc21)OC[PH](O)(O)O	20
1v48	Nc1nc2c(ncn2CCCCC(F)(F)[PH](O)(O)O)c(=O)[nH]1	22
1b8o	O=c1[nH]cnc2c([C@@H]3[NH2+][C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12	19
1vfn	O=c1[nH]cnc2nc[nH]c12	10
3fuc	Nc1[nH]c2c(CCCCC(F)(F)[PH](O)(O)O)c[nH]c2c(=O)[nH+]1	22
4eym	O=C(Nc1ccc(Oc2ccncc2)cc1)c1ccnc(N2CCOCC2)c1	28
5eko	Cc1cn(-c2cccc(C(=O)Nc3ccc(Oc4ccncc4)cc3)c2)cn1	28
4eyj	Cn1nc(C(C)(C)C)cc1NC(=O)Nc1ccc(Oc2ccncc2)cc1	27
5qc4	CC(=O)N1CCc2c(c(-c3ccc(C(F)(F)F)c(SCC(=O)N4CCCC4)c3)nn2C[C@H](O)C[N@H+]2CC[C@@H](C(C)(C)O)CC2)C1	45
1ms6	CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@H](C=N)COCc1ccccc1	29
3iej	O=C(CO)N1CCc2c(c(-c3ccc(Cl)c(C#Cc4ccc(Cl)cc4)c3)nn2CCC[NH+]2CCOCC2)C1	38
5qbv	Cn1c(=O)n([C@H]2CC[N@H+](CCCn3nc(-c4ccc(Cl)c(CNC(=O)c5ccccc5)c4)ccc3=O)CC2)c2cc(Cl)ccc21	45
5qby	Cn1c(=O)n([C@H]2CC[N@@H+](CCCn3cncc(-c4ccc(Cl)c(CNC(=O)c5ccc(F)cc5)c4)c3=O)CC2)c2cc(Cl)ccc21	46
3n4c	Cn1cnc2c(C=N)nc(-c3ccc(OCCC[N@H+]4CC[N@H+](C)CC4)c(C(F)(F)F)c3)cc21	33
3n3g	C[N@H+]1CC[N@H+](CCCOc2ccc(-c3cccc(C#N)n3)cc2C(F)(F)F)CC1	29
2r9m	C[N@H+]1CC[C@@](C=N)(NC(=O)[C@H](CC2CCCCC2)NC(=O)N2CCOCC2)CC1	29
3ovx	CC[C@@H](CO)NC(=O)c1cccc(C(F)(F)F)c1Cl	19
1npz	CC(C)C[C@H](NC(=O)N1CCOCC1)C(=O)N[C@@H](CCc1ccccc1)CCS(=O)(=O)c1ccccc1	37
2f1g	COc1ccc(NCCNC(=O)[C@H](CC2CCCCC2)Nc2nc3ccccc3o2)cc1	32
2hhn	C[C@@H](CNc1ccc(OC(F)(F)F)cc1)NC(=O)[C@H](CS(=O)(=O)Cc1ccccc1)NC(=O)N1CCOCC1	39
2hh5	C[C@@H](CNc1ccc(OC(F)(F)F)cc1)NC(=O)[C@H](CS(=O)(=O)Cc1ccccc1)NC(=O)N1CCOCC1	39
4p6e	C[NH+]1CCN(C(=O)Nc2ccc3c(c2)[C@H](NC(=O)c2ccccc2)CCC3)CC1	29
4p6g	CNC(=O)O[C@H]1COc2ccc(N3CC[NH+](C4COC4)CC3)cc2[C@@H]1NC(=O)c1ccc(F)cc1	35
2op3	O=CCOc1ccccc1-c1ccc(F)c(F)c1F	19
2gvd	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@H]2O[C@@]3(O[C@H]21)C([N+](=O)[O-])=CC([N+](=O)[O-])=C[C@@H]3[N+](=O)[O-]	46
2gvz	C/N=C1\CCCC=C1C(=O)O[C@@H]1[C@@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)O[C@@H](n2cnc3c(N)ncnc32)[C@@H]1O	41
3miy	CC[NH+](CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C	29
4hct	C=CC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4cccc(C(C)(C)C)c4)c3)c3c(N)ncnc32)C1	39
1sm2	C[NH2+][C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4	35
4hcv	CCC(=O)N1CCC[C@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1	38
3v5j	CCC(O)(CC)c1cc(OCC[NH+]2CCOCC2)c2cc(-c3[nH]nc4ccsc34)[nH]c2c1	32
3v8w	CCC(O)(CC)c1ccc2cc(-c3[nH]nc4cc(-c5ccccc5)sc34)[nH]c2c1	29
3v5l	CCC(O)(CC)c1ccc2c(-c3ccc(OC)cc3)c(-c3n[nH]c4ccsc34)[nH]c2c1	31
3mj2	COc1cc(C)c(Sc2cnc(NC(=O)c3ccc(C[NH2+][C@@H](C)C(C)(C)C)cc3)s2)cc1C(=O)N1CCN(C(C)=O)CC1	43
4hcu	CCC(=O)N1CCC[C@@H](n2nc(-c3cccc(C(=O)Nc4ccc(C(C)C)cc4)c3)c3c(N)ncnc32)C1	38
4kio	C=CC(=O)N1CC[C@H](Nc2nc(C[NH+]3CCOCC3)cc(Nc3nc4cccnc4s3)n2)C1	33
4mf0	C[NH+](C)Cc1ccc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cccnc4)cc3s2)cc1	31
4mf1	C[NH+](C)Cc1ccc([C@H]2C[C@@H]2C(=O)Nc2nc3ccc(-c4cn[nH]c4)cc3s2)cc1	30
4pp9	N#Cc1cccc(Cn2cc(NC(=O)c3n[nH]c4ccccc34)cn2)c1	26
4ppa	N#Cc1cccc(Cn2cc(NC(=O)c3n[nH]c4cc(-c5cn[nH]c5)ccc34)cn2)c1	31
4pqn	C[NH+](C)CC[C@@H](c1ccccc1)n1cc(NC(=O)c2[nH]nc3c2CCC(C)(C)C3)cn1	31
4rfm	C[C@@]12Cc3n[nH]c(C(=O)Nc4cnn([C@H](c5ccccc5)[C@H]5CCCCS5(=O)=O)c4)c3C[C@@H]1C2(F)F	36
4qd6	O=S(=O)(c1ccccc1)c1cc(Nc2cc(-c3ccccc3)[nH]n2)nc(N[C@H]2CC[C@H](O)CC2)c1	35
2z7g	CCCCCC[C@H]([C@H](C)O)n1cnc2c(N)ncnc21	20
1v7a	C[C@H](O)[C@@H](CCOc1ccc2ccccc2c1)n1cnc(C(N)=O)c1	25
1v79	C[C@H](O)[C@@H](CCc1cccc(Cl)c1Cl)n1cnc(C(N)=O)c1	22
1ndy	NC(=O)c1cn([C@@H](CO)CCc2cccc3ccccc23)cn1	23
4bbe	CC(=O)Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1	29
4bbf	O=C(Nc1ccc(-c2ccnc(Nc3ccc(N4CCOCC4)cc3)n2)cc1)[C@H]1CCC[NH2+]1	33
3lpb	CNS(=O)(=O)c1ccc(-c2cccc3ncc(-c4cc(OC)c(OC)c(OC)c4)nc23)cc1	33
3krr	Fc1cc(-c2cccc3ncc(-c4cnn(C5CC[NH2+]CC5)c4)nc23)cc(F)c1C[NH+]1CCOCC1	36
3iok	C[C@H](Nc1cc(-c2c(N)nn3cccnc23)ncn1)c1ccc(F)cc1	26
2xa4	Cc1cc(Nc2nc(N[C@@H](C)c3ncc(F)cn3)ncc2Cl)[nH]n1	24
4d0w	Cc1ccc(Cl)cc1-c1[nH]c(-c2ccnc(N)n2)cc1C(N)=O	23
5usz	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F	27
3q32	COc1cc(F)c(CC(=O)N2CCN(c3nc(Nc4cc(C)n[nH]4)c4cccn4n3)CC2)c(F)c1	35
6bbv	CCCS(=O)(=O)N[C@H]1C[C@@H](N(C)c2ncnc3[nH]ccc23)C1	22
3fup	C[C@@H]1CCN(C(=O)CC#N)C[C@@H]1N(C)c1ncnc2[nH]ccc12	23
5tq6	C[C@@H]1CCN(C(=O)N2CCCC2)C[C@@H]1N(C)c1ncnc2[nH]ccc12	25
5l3a	CS(=O)(=O)Nc1cccc2[nH]ncc12	14
3tjd	CNC(=O)c1cnc(N)c2cc(-c3ccc(S(=O)(=O)NC(C)(C)C)cc3)sc12	28
4d1s	Cc1ccc(Cl)cc1-c1c(C(N)=O)cc(-c2ccnc(Nc3ccc(N4CC[NH+](C)CC4)cc3)n2)n1C	37
3e63	Nc1[nH]nc2ccc(-c3ccccc3)cc12	16
4aqc	CS(=O)(=O)c1ccc(-c2cccn3nc(Nc4ccc(N5CCOCC5)cc4)nc23)cc1	32
2b7a	CC(C)(C)c1nc2c3cc[nH]c(=O)c3c3cc(F)ccc3c2[nH]1	23
4e6d	N#CCC(=O)N1CCC[C@@H](n2cnc3cnc4[nH]ccc4c32)C1	23
4f08	c1cc2c(ncc3ncn(C4CC[NH2+]CC4)c32)[nH]1	18
4f09	Cc1nc2cnc3[nH]ccc3c2n1C1CC[NH2+]CC1	19
4iva	C[C@@H](O)c1nc2cnc3[nH]ccc3c2n1[C@H]1CC[C@H](C#N)CC1	23
4e6q	c1ccc(C[N@H+]2CC[C@H](n3cnc4cnc5[nH]ccc5c43)CC2)cc1	25
4hge	Cc1cc(NC(=O)c2cnn3cccnc23)n(-c2cccc(Cl)c2)n1	25
3zmm	Cc1cc(Nc2nc(O[C@@H](C)c3ncc(F)cn3)c(F)c(N3CCOCC3)n2)[nH]n1	30
4gmy	O=C(Nc1ccnc(NC(=O)C2CC2)c1)c1c(Cl)cccc1Cl	23
4p7e	O=C(Nc1n[n+]2c(-c3ccc(C[NH+]4CCS(=O)(=O)CC4)cc3)cccc2[nH]1)C1CC1	30
4jia	COc1ccc(-c2cccc3[nH]c(Nc4ccc(N5CC[NH+](C)CC5)cc4)n[n+]23)cc1	31
4yth	CC(C)(Nc1nc(-c2c[nH]c3ncc(Cl)cc23)ncc1F)C(=O)NCC(F)(F)F	29
4c61	Cc1csc2c(Nc3cn(C)cn3)nc(N[C@@H](C)c3ncc(F)cn3)nc12	27
6aaj	NC(=O)c1cnc2[nH]ccc2c1N[C@H]1[C@H]2C[C@H]3C[C@@H]1C[C@](O)(C3)C2	24
4d0x	NC(=O)c1cc(-c2ccnc(N)n2)[nH]c1-c1cc(C(F)(F)F)ccc1Cl	26
5aep	Cc1ccc(Cl)cc1-n1cc(-c2ncnn3cccc23)cc1C(N)=O	25
5cf5	CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3nc(C)c(C)s3)nc21	32
4zim	NC(=O)c1cc(-c2ccc(Cl)c(Cl)c2)cc2c1[nH]c1ccc(C(=O)N3CCOCC3)cc12	32
5cf4	CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(NCCCOC)nc21	30
5cf8	CCn1c(C(=O)N(C2CC2)C2CC2)cc2c3c(ncn3C)c(Nc3cc(C)n(C)n3)nc21	32
5tq8	CCc1cc(O)c(F)cc1-c1ccc2c(-c3nc4c([nH]3)CCN(C(=O)c3cnc(N5CCCCC5)cn3)C4)n[nH]c2c1	42
5tq3	CCc1cc(O)ccc1-c1ccc2c(-c3nc4ccccc4[nH]3)[nH]nc2c1	27
5ut6	N#Cc1ccc(Nc2nc(N)cc(-n3ccc(CO)n3)n2)cc1	23
5tq5	CCc1cc(O)ccc1-c1ccc2c(C(=O)Nc3ccc(C)nc3)[nH]nc2c1	28
3e62	Nc1[nH]nc2ccc(Br)cc12	11
3e64	CC(C)(C)NS(=O)(=O)c1ccc(-c2ccc3n[nH]c(N)c3c2)cc1	24
2w1i	O=C(Nc1c[nH]nc1-c1nc2ccc(C[NH+]3CCOCC3)cc2[nH]1)NC1CC1	28
3io7	CCN(CC)C(=O)[C@H]1CCCN(c2cc(-c3c(N)nn4cccnc34)ncn2)C1	29
3jy9	O=C1Nc2ccccc2-c2ccnc3[nH]cc(c23)[C@@H]1c1ccc(O)cc1	26
6ed6	O=C(NCc1cccc2c1OCCO2)c1ccc(-c2ccncc2)cc1	26
1dgm	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	19
1f3e	Nc1cc(N)c2c(=O)[nH][nH]c(=O)c2c1	14
1n2v	CCCCc1nc2c(=O)[nH][nH]c(=O)c2[nH]1	15
1enu	Nc1ccc2c(=O)[nH][nH]c(=O)c2c1	13
5svk	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O	31
5svl	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[PH](O)(O)O[PH](O)(O)O[PH](O)(O)O)[C@@H](O)[C@H]1O	31
5yve	COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1S(N)(=O)=O	24
3iw4	C[NH+]1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1	33
3bbt	Fc1cccc(COc2ccc(Nc3ncnc4ccccc34)cc2Cl)c1	27
2r4b	C=Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1	28
3g3n	CSc1nc2ccccc2c(=O)n1-c1c(F)cccc1F	21
1zkl	CC(C)Cn1c(=O)n(C)c(=O)c2[nH]cnc21	16
2gv7	CC(C)c1cc(C(C)C)c(S(=O)(=O)N[C@@H](Cc2cccc(C(N)N)c2)C(=O)N2CCN(C(=O)C3CCN(C(N)N)CC3)CC2)c(C(C)C)c1	49
2gv6	NC(N)NCCC1CCN(C(=O)[C@H](Cc2cccc(C(N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1	39
4jzi	NC(N)c1ccc(Oc2cc(C(=O)N[C@H]3CC[C@H]([NH3+])CC3)cc(Oc3ccc(C(N)N)cc3)n2)cc1	36
4jz1	NC(N)c1ccc(Oc2ccc(NS(=O)(=O)c3ccc(F)cc3)c(Oc3ccc(C(N)N)cc3)n2)cc1	37
4o9v	NC(N)c1ccc(Oc2cc(Oc3ccc(C(N)N)cc3)cc(C(=O)N[C@H]3CC[C@H]([NH3+])CC3)c2)cc1	36
4o97	NC(N)c1cccc(COc2cc(OCc3cccc(C(N)N)c3)cc(C(=O)N[C@H]3CC[C@H]([NH3+])CC3)c2)c1	38
1h01	C[NH+](C)C[C@H](O)COc1ccc(Nc2nccc(Nc3cc(Cl)ccc3Cl)n2)cc1	30
1h08	C[NH+](C)C[C@@H](O)COc1ccc(Nc2ncc(Br)c(Nc3ccccc3)n2)cc1	29
2iw6	Cc1ccc(Cl)c(N(CC#N)c2cc(Nc3ccc(OC[C@H](O)C[NH+](C)C)cc3)ncn2)c1	33
1oiq	CC(=O)Nc1nccc(-c2c(C)[nH]c3cccc[n+]23)n1	20
3unk	O=C(O)c1ccc(Nc2nccc(Nc3ccccc3Cl)n2)cc1	24
1v1k	C[NH+](C)C[C@@H](O)COc1ccc(Nc2cc(Nc3cc(C(F)(F)F)ccc3F)ncn2)cc1	33
1h00	C[NH+](C)C[C@H](O)COc1ccc(Nc2cc(Nc3c(F)cccc3F)ncn2)cc1	30
1ogu	NC(=O)c1ccc(Nc2nc(N)c(N=O)c(OCC3CCCCC3)n2)cc1	27
1e1x	Nc1nc(N)c(N=O)c(OCC2CCCCC2)n1	18
2c5o	Cc1nc(C)c(-c2ccnc(N)n2)s1	14
2uue	Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1	26
2xnb	Cc1c(-c2ccnc(Nc3ccc(N4CC[NH2+]CC4)cc3)n2)sc(=O)n1C	27
2wev	Cc1nc(N)sc1-c1ccnc(Nc2cccc([N+](=O)[O-])c2)n1	23
3lfs	CCCC(=O)Nc1[nH]nc2cc(Cl)c(-c3ccccc3)cc12	22
3lfn	CCCC(=O)Nc1n[nH]c2cc(-c3ccc(O)cc3)c(-c3ccccc3)cc12	28
1vyz	O=C(Nc1cc(C2CC2)[nH]n1)c1ccccc1	17
6gub	C[N@H+]1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1	28
1vyw	O=C(Cc1ccc2ccccc2c1)Nc1cc(C2CC2)[nH]n1	22
2wih	CNC(=O)c1nn(C)c2c1C(C)(C)Cc1cnc(Nc3ccc(N4CC[NH+](C)CC4)cc3)nc1-2	34
2wxv	CNC(=O)c1nn(C)c2c1CCc1cnc(NC3CCN(S(C)(=O)=O)CC3)nc1-2	29
2iw9	NS(=O)(=O)c1ccc(Nc2nc(OCC3CCCCC3)c3nc[nH]c3n2)cc1	28
1jvp	c1ccc2c(c1)Cc1c-2n[nH]c1-c1ccncc1	18
1ke5	CNS(=O)(=O)c1ccc(N/C=C2\C(=O)Nc3ccccc32)cc1	23
1ke6	CNS(=O)(=O)Cc1ccc(N/N=C2\C(=O)Nc3ccc4ncsc4c32)cc1	27
1ke7	O=C1Nc2ccc(-c3cnco3)cc2/C1=C/Nc1ccc2c(c1)CS(=O)(=O)C2	28
1ke8	O=C1Nc2ccccc2/C1=C/Nc1ccc(S(=O)(=O)Nc2nccs2)cc1	27
5jq5	CC(C)c1cnn2c(NCc3ccccc3)cc(NC[C@H]3CC[NH2+]C[C@@H]3O)nc12	29
3wbl	CCOc1ccc(Nc2c(C)c(N[C@H]3CCC[NH2+]C3)nc3ccnn23)cc1	27
1fvt	NS(=O)(=O)c1ccc(N/N=C2\C(=O)Nc3ccc(Br)cc32)cc1	23
2b53	CC(C)(C)Nc1nc(C(F)(F)F)nc2ccc(-c3cccc(N)c3)cc12	26
1e9h	O=C1Nc2ccc(S(O)(O)O)cc2/C1=C1\Nc2ccccc2C1=O	24
1di8	COc1cc2ncnc(Nc3cccc(O)c3)c2cc1OC	22
2vti	NS(=O)(=O)c1ccc(NC(=O)c2[nH]nc3ccccc23)cc1	22
1w0x	Cn1cnc2c(NCc3ccccc3)nc(NCCO)nc21	22
2b52	Cc1nc(C)c(-c2n[nH]c3c2C(=O)c2c(NC(=O)N[N@H+]4CC[N@H+](C)CC4)cccc2-3)s1	31
2b55	[NH3+]C[C@H]1CC[N@@H+](CC(=O)Nc2cccc3c2C(=O)c2c(C4CCCCC4)n[nH]c2-3)CC1	31
3qtz	Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)sc1C(=O)c1cccc(F)c1	26
1y91	CC(C)c1c[nH][n+]2c(Nc3ccc(S(=O)(=O)N(C)C)cc3)cc(N[C@H]3CC[C@H]([NH3+])CC3)nc12	33
3s2p	CC(C)c1cc(-c2cc(N3C[C@H](O)[C@@H](O)C3)ccc2O)nc(N)n1	24
1oit	NS(=O)(=O)c1ccc(Nc2nccc(-c3c[nH]c4cccc[n+]34)n2)cc1	26
1pye	Nc1[nH]c2ccc(C(=O)c3c(F)cccc3F)c[n+]2c1C(=O)c1ccccc1	28
3ej1	c1cnn2ncc(-c3ccnc(NC4CC4)n3)c2c1	19
3eid	C[NH+](C)C[C@H](O)COc1ccc(Nc2nccc(-c3cnn4nc(N5CCOCC5)ccc34)n2)cc1	36
2bpm	C[C@H](C(=O)Nc1cc(C2CC2)n[nH]1)c1ccc(N2CCNC2=O)cc1	25
1wcc	Nc1cncc(Cl)n1	8
3ddq	CC[C@H](CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1	26
5nev	NS(=O)(=O)c1ccc(Nc2nc(-c3cccc(-c4ccccc4)c3)c3[nH]cnc3n2)cc1	32
1oir	Cc1[nH]c2cccc[n+]2c1-c1ccnc(Nc2ccc(OC[C@@H](O)C[NH+](C)C)cc2)n1	31
2c4g	CC(=O)N1Cc2[nH]nc(NC(=O)c3ccccc3)c2C1	20
3py1	COc1ccc2c(c1)/C(=C/c1c[nH]cn1)C(=O)N2	18
3uli	COc1ccc(-c2nc3c(NCCCNC(=O)C4(C[NH3+])C=C4)c(Br)cnc3[nH]2)cc1	30
2c6l	NS(=O)(=O)c1ccc(Nc2cc(N[C@H]3CC[C@H]([NH3+])CC3)nc3nc[nH][n+]23)cc1	28
2c68	Brc1cccc(-c2cc(NCc3ccncc3)n3nccc3n2)c1	24
2c6i	NS(=O)(=O)c1ccc(Nc2cc(OCC3CCCCC3)nc3ncnn23)cc1	28
2c6k	NS(=O)(=O)c1ccc(Nc2cc(NC3CCCCC3)nc3ncnn23)cc1	27
2r3f	Clc1cccc(-c2cc(NCc3ccncc3)n3nccc3n2)c1Cl	25
2wpa	CC(C)CC(=O)Nc1n[nH]c2c1CN(C(=O)[C@H]1CC[N@H+](C)CC1)C2(C)C	26
3ns9	CC(C)c1cnn2c(NCc3ccccc3)cc(N[C@@H](CO)[C@H](O)CO)nc12	28
2fvd	COc1ccc(F)c(F)c1C(=O)c1cnc(NC2CCN(S(C)(=O)=O)CC2)nc1N	30
2vts	CC(C)Nc1cc(N[C@H]2CC[C@H]([NH3+])CC2)nc2c(C#N)cnn12	23
4bgh	C[C@H](CO)Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)ncc1Br	23
2i40	COc1cc2ncn(-c3cc(O[C@H](C)c4ccccc4Cl)c(C(N)=O)s3)c2cc1OC	31
2exm	CC(C)=CCNc1ncnc2[nH]cnc12	15
2duv	Cc1cc(N2CCCS2(=O)=O)c2oc(-c3ccc(O)c(O)c3)c(O)c(=O)c2c1	28
2uzd	N=C1NC(=O)/C(=C/c2ccc(-c3ccc(S(N)(=O)=O)cc3)o2)S1	23
6guf	CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3[NH3+])nc21	27
2uze	N=C1NC(=O)/C(=C/c2ccc(-c3ccc(C(=O)O)cc3)o2)S1	22
6guk	CCn1cnc2c(Nc3cccc(Cl)c3)nc(N[C@@H]3CCCC[C@@H]3[NH3+])nc21	27
2uzo	NS(=O)(=O)c1ccc(-c2ccc(/C=C3\SC(=O)NC3=O)o2)cc1	23
