"id","UniProt","Name","Family"
11733,"Q5TCX8","Mitogen-activated protein kinase kinase kinase 21","Kinase"
11734,"Q12851","Mitogen-activated protein kinase kinase kinase kinase 2","Kinase"
11735,"Q3KP22","Membrane-anchored junction protein","Other"
11736,"Q9ULX9","Transcription factor MafF","Transcription Factor"
11737,"O43283","Mitogen-activated protein kinase kinase kinase 13","Kinase"
11738,"Q15691","Microtubule-associated protein RP/EB family member 1","Other"
11739,"O15021","Microtubule-associated serine/threonine-protein kinase 4","Kinase"
11740,"P33032","Melanocortin receptor 5","GPCR"
11741,"P61244","Protein max","Transcription Factor"
11742,"Q6VMQ6","Activating transcription factor 7-interacting protein 1","Other"
11743,"A0A1B0GVZ6","Methyl-CpG-binding domain protein 3-like 2B","Other"
11744,"O43772","Mitochondrial carnitine/acylcarnitine carrier protein","Transporter"
11745,"Q96PE7","Methylmalonyl-CoA epimerase, mitochondrial","Enzyme"
11746,"Q16891","MICOS complex subunit MIC60","Other"
11747,"Q6Q8B3","Cell surface glycoprotein CD200 receptor 2","Other"
11748,"Q8IZK6","Mucolipin-2","Ion Channel"
11749,"Q14566","DNA replication licensing factor MCM6","Other"
11750,"Q86SG6","Serine/threonine-protein kinase Nek8","Kinase"
11751,"Q9H3P2","Negative elongation factor A","Other"
11752,"Q8WX92","Negative elongation factor B","Other"
11753,"Q6DN12","Multiple C2 and transmembrane domain-containing protein 2","Other"
11754,"P08235","Mineralocorticoid receptor","Nuclear Receptor"
11755,"Q9NWR8","Calcium uniporter regulatory subunit MCUb, mitochondrial","Other"
11756,"Q71F56","Mediator of RNA polymerase II transcription subunit 13-like","Enzyme"
11757,"Q99750","MyoD family inhibitor","Other"
11758,"Q86XA0","Methyltransferase-like protein 23","Enzyme"
11759,"Q96IZ6","Methyltransferase-like protein 2A","Enzyme"
11760,"A6BM72","Multiple epidermal growth factor-like domains protein 11","Other"
11761,"O75095","Multiple epidermal growth factor-like domains protein 6","Other"
11762,"P16455","Methylated-DNA--protein-cysteine methyltransferase","Enzyme"
11763,"Q9H7Z3","Protein NRDE2 homolog","Other"
11764,"O94851","[F-actin]-monooxygenase MICAL2","Enzyme"
11765,"Q9NX63","MICOS complex subunit MIC19","Other"
11766,"Q7Z3K6","Mesoderm induction early response protein 3","Transcription Factor"
11767,"Q96AX9","E3 ubiquitin-protein ligase MIB2","Enzyme"
11768,"Q8IY33","MICAL-like protein 2","Other"
11769,"Q9UHC1","DNA mismatch repair protein Mlh3","Other"
11770,"Q5VWP3","Muscular LMNA-interacting protein","Other"
11771,"Q13434","Putative E3 ubiquitin-protein ligase makorin-4","Enzyme"
11772,"Q8NB16","Mixed lineage kinase domain-like protein","Kinase"
11773,"Q9HAP2","MLX-interacting protein","Transcription Factor"
11774,"P58340","Myeloid leukemia factor 1","Other"
11775,"Q8NEH6","Meiosis-specific nuclear structural protein 1","Other"
11776,"Q149M9","NACHT domain- and WD repeat-containing protein 1","Other"
11777,"Q5VZ03","Nucleoredoxin-like protein 2","Other"
11778,"Q6DKJ4","Nucleoredoxin","Other"
11779,"Q96BY2","Modulator of apoptosis 1","Other"
11780,"Q86TA1","MOB kinase activator 3B","Enzyme"
11781,"Q6UWF7","NXPE family member 4","Other"
11782,"O95156","Neurexophilin-2","Other"
11783,"Q6NXP6","NADP-dependent oxidoreductase domain-containing protein 1","Enzyme"
11784,"Q6IF99","Olfactory receptor 10K2","oGPCR"
11785,"O96033","Molybdopterin synthase sulfur carrier subunit","Enzyme"
11786,"Q13875","Myelin-associated oligodendrocyte basic protein","Other"
11787,"Q8NG94","Olfactory receptor 11H1","oGPCR"
11788,"P58182","Olfactory receptor 12D2","oGPCR"
11789,"Q9UGF7","Olfactory receptor 12D3","oGPCR"
11790,"Q8NGS9","Olfactory receptor 13C2","oGPCR"
11791,"Q8NHC6","Putative olfactory receptor 14L1","oGPCR"
11792,"Q9Y605","MORF4 family-associated protein 1","Other"
11793,"Q13724","Mannosyl-oligosaccharide glucosidase","Enzyme"
11794,"Q86VF5","2-acylglycerol O-acyltransferase 3","Enzyme"
11795,"Q16653","Myelin-oligodendrocyte glycoprotein","Other"
11796,"P21941","Cartilage matrix protein","Other"
11797,"Q9HCC0","Methylcrotonoyl-CoA carboxylase beta chain, mitochondrial","Enzyme"
11798,"O43324","Eukaryotic translation elongation factor 1 epsilon-1","Other"
11799,"Q9BQD1","Putative pro-MCH-like protein 2","Other"
11800,"Q6ZWH5","Serine/threonine-protein kinase Nek10","Kinase"
11801,"Q8NG66","Serine/threonine-protein kinase Nek11","Kinase"
11802,"Q07820","Induced myeloid leukemia cell differentiation protein Mcl-1","Other"
11803,"Q9GZU1","Mucolipin-1","Ion Channel"
11804,"Q8TDD5","Mucolipin-3","Ion Channel"
11805,"P08493","Matrix Gla protein","Other"
11806,"Q86V88","Magnesium-dependent phosphatase 1","Enzyme"
11807,"Q99735","Microsomal glutathione S-transferase 2","Enzyme"
11808,"Q9UBM8","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase C","Enzyme"
11809,"Q09328","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A","Enzyme"
11810,"Q8N4Q1","Mitochondrial intermembrane space import and assembly protein 40","Other"
11811,"Q7Z6M3","Allergin-1","Other"
11812,"Q6NVV0","Putative makorin-5","Other"
11813,"H3BPM6","MKRN2 opposite strand protein","Other"
11814,"P41218","Myeloid cell nuclear differentiation antigen","Other"
11815,"O95983","Methyl-CpG-binding domain protein 3","Transcription Factor"
11816,"O95243","Methyl-CpG-binding domain protein 4","Transcription Factor"
11817,"O15068","Guanine nucleotide exchange factor DBS","Other"
11818,"Q8IWI9","MAX gene-associated protein","Transcription Factor"
11819,"Q3V5L5","Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B","Enzyme"
11820,"Q96A72","Protein mago nashi homolog 2","Other"
11821,"Q9UM21","Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A","Enzyme"
11822,"P26572","Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase","Enzyme"
11823,"Q504T8","Midnolin","Other"
11824,"Q9BRT3","Migration and invasion enhancer 1","Other"
11825,"Q29980","MHC class I polypeptide-related sequence B","Other"
11826,"Q6ZW33","MICAL C-terminal-like protein","Other"
11827,"Q86YT6","E3 ubiquitin-protein ligase MIB1","Enzyme"
11828,"Q9BPX6","Calcium uptake protein 1, mitochondrial","Other"
11829,"Q9GZQ8","Microtubule-associated proteins 1A/1B light chain 3B","Other"
11830,"Q9BXW4","Microtubule-associated proteins 1A/1B light chain 3C","Other"
11831,"Q9NXB0","Meckel syndrome type 1 protein","Other"
11832,"Q5HYA8","Meckelin","Other"
11833,"Q8IYA7","Homeobox protein Mohawk","Other"
11834,"Q9UH92","Max-like protein X","Transcription Factor"
11835,"P09238","Stromelysin-2","Other"
11836,"P43360","Melanoma-associated antigen 6","Other"
11837,"P49137","MAP kinase-activated protein kinase 2","Kinase"
11838,"Q9P2E8","E3 ubiquitin-protein ligase MARCH4","Enzyme"
11839,"Q9NZL9","Methionine adenosyltransferase 2 subunit beta","Enzyme"
11840,"P43243","Matrin-3","Other"
11841,"Q5VZF2","Muscleblind-like protein 2","Other"
11842,"Q96FI4","Endonuclease 8-like 1","Enzyme"
11843,"Q5U623","Activating transcription factor 7-interacting protein 2","Other"
11844,"Q9P267","Methyl-CpG-binding domain protein 5","Epigenetic"
11845,"Q8TAT5","Endonuclease 8-like 3","Enzyme"
11846,"Q5XKP0","MICOS complex subunit MIC13","Other"
11847,"Q9BRQ6","MICOS complex subunit MIC25","Other"
11848,"Q29983","MHC class I polypeptide-related sequence A","Other"
11849,"Q9H3L0","Methylmalonic aciduria and homocystinuria type D protein, mitochondrial","Other"
11850,"Q01449","Myosin regulatory light chain 2, atrial isoform","Other"
11851,"O14950","Myosin regulatory light chain 12B","Other"
11852,"P24347","Stromelysin-3","Other"
11853,"Q8IVH4","Methylmalonic aciduria type A protein, mitochondrial","Other"
11854,"Q9H008","Phospholysine phosphohistidine inorganic pyrophosphate phosphatase","Enzyme"
11855,"Q96GY3","Protein lin-37 homolog","Other"
11856,"Q2Q1W2","E3 ubiquitin-protein ligase TRIM71","Enzyme"
11857,"Q5VYY2","Lipase member M","Enzyme"
11858,"Q5T7N2","LINE-1 type transposase domain-containing protein 1","Enzyme"
11859,"A1A4G5","Leukemia NUP98 fusion partner 1","Other"
11860,"P49257","Protein ERGIC-53","Other"
11861,"Q6ZMQ8","Serine/threonine-protein kinase LMTK1","Kinase"
11862,"P18054","Arachidonate 12-lipoxygenase, 12S-type","Enzyme"
11863,"Q08397","Lysyl oxidase homolog 1","Enzyme"
11864,"Q9UN81","LINE-1 retrotransposable element ORF1 protein","Other"
11865,"Q9Y4K0","Lysyl oxidase homolog 2","Enzyme"
11866,"P23490","Loricrin","Other"
11867,"Q9BQK8","Phosphatidate phosphatase LPIN3","Enzyme"
11868,"P09917","Arachidonate 5-lipoxygenase","Enzyme"
11869,"Q9H756","Leucine-rich repeat-containing protein 19","Other"
11870,"Q96QE4","Leucine-rich repeat-containing protein 37B","Other"
11871,"Q8N5H3","Leucine repeat adapter protein 25","Other"
11872,"A4D1F6","Leucine-rich repeat and death domain-containing protein 1","Other"
11873,"Q8TF66","Leucine-rich repeat-containing protein 15","Other"
11874,"Q9C099","Leucine-rich repeat and coiled-coil domain-containing protein 1","Other"
11875,"Q9Y2L9","Leucine-rich repeat and calponin homology domain-containing protein 1","Other"
11876,"O60938","Keratocan","Other"
11877,"P46019","Phosphorylase b kinase regulatory subunit alpha, liver isoform","Kinase"
11878,"P50748","Kinetochore-associated protein 1","Other"
11879,"P51511","Matrix metalloproteinase-15","Enzyme"
11880,"Q15334","Lethal(2) giant larvae protein homolog 1","Other"
11881,"Q8IV20","Laccase domain-containing protein 1","Enzyme"
11882,"Q9H9P8","L-2-hydroxyglutarate dehydrogenase, mitochondrial","Enzyme"
11883,"Q9NRE1","Matrix metalloproteinase-26","Enzyme"
11884,"Q01650","Large neutral amino acids transporter small subunit 1","Transporter"
11885,"Q86VI4","Lysosomal-associated transmembrane protein 4B","Other"
11886,"Q9UJQ1","Lysosome-associated membrane glycoprotein 5","Other"
11887,"O95461","LARGE xylosyl- and glucuronyltransferase 1","Enzyme"
11888,"Q9Y4W2","Ribosomal biogenesis protein LAS1L","Other"
11889,"P08253","72 kDa type IV collagenase","Enzyme"
11890,"Q14739","Lamin-B receptor","Epigenetic"
11891,"Q6UWP7","Lysocardiolipin acyltransferase 1","Enzyme"
11892,"Q86VQ0","Lebercilin","Other"
11893,"Q13201","Multimerin-1","Other"
11894,"Q96PV6","Leukocyte receptor cluster member 8","Other"
11895,"O00182","Galectin-9","Other"
11896,"P19256","Lymphocyte function-associated antigen 3","Other"
11897,"O75610","Left-right determination factor 1","Other"
11898,"Q92604","Acyl-CoA:lysophosphatidylglycerol acyltransferase 1","Enzyme"
11899,"O95970","Leucine-rich glioma-inactivated protein 1","Other"
11900,"Q6MZP7","Protein lin-54 homolog","Other"
11901,"Q7Z4I7","LIM and senescent cell antigen-like-containing domain protein 2","Other"
11902,"P06858","Lipoprotein lipase","Enzyme"
11903,"Q8IVB5","LIX1-like protein","Other"
11904,"Q96KR4","Leishmanolysin-like peptidase","Enzyme"
11905,"Q8N9Z9","Lamin tail domain-containing protein 1","Other"
11906,"O75022","Leukocyte immunoglobulin-like receptor subfamily B member 3","Other"
11907,"Q6UX01","Protein LMBR1L","Other"
11908,"Q9BYJ1","Hydroperoxide isomerase ALOXE3","Enzyme"
11909,"O75145","Liprin-alpha-3","Other"
11910,"Q9UHB6","LIM domain and actin-binding protein 1","Other"
11911,"P54317","Pancreatic lipase-related protein 2","Enzyme"
11912,"Q8IXW0","Lamin tail domain-containing protein 2","Other"
11913,"Q12907","Vesicular integral-membrane protein VIP36","Other"
11914,"Q8NA19","Lethal(3)malignant brain tumor-like protein 4","TF-Epigenetic"
11915,"Q8WVP7","Limb region 1 protein homolog","Other"
11916,"Q93052","Lipoma-preferred partner","Other"
11917,"Q16609","Putative apolipoprotein(a)-like protein 2","Other"
11918,"A6NIK2","Leucine-rich repeat-containing protein 10B","Other"
11919,"A6NHZ5","Leucine-rich repeat-containing protein 14B","Other"
11920,"O75427","Leucine-rich repeat and calponin homology domain-containing protein 4","Other"
11921,"Q5SZI1","Low-density lipoprotein receptor class A domain-containing protein 2","Other"
11922,"A6NM36","Leucine-rich repeat-containing protein 30","Other"
11923,"Q8N1G4","Leucine-rich repeat-containing protein 47","Other"
11924,"Q8IZ02","Leucine-rich repeat-containing protein 34","Other"
11925,"Q9HBW1","Leucine-rich repeat-containing protein 4","Other"
11926,"Q96DD0","Leucine-rich repeat-containing protein 39","Other"
11927,"Q9Y608","Leucine-rich repeat flightless-interacting protein 2","Other"
11928,"Q8ND56","Protein LSM14 homolog A","Other"
11929,"Q86UE6","Leucine-rich repeat transmembrane neuronal protein 1","Other"
11930,"P98164","Low-density lipoprotein receptor-related protein 2","Other"
11931,"A4QPB2","Low-density lipoprotein receptor-related protein 5-like protein","Other"
11932,"O43504","Ragulator complex protein LAMTOR5","Other"
11933,"A0A075B6J6","Immunoglobulin lambda variable 3-22","Other"
11934,"A0A075B6J1","Immunoglobulin lambda variable 5-37","Other"
11935,"A0A0A0MRZ9","Immunoglobulin lambda variable 5-52","Other"
11936,"P01703","Immunoglobulin lambda variable 1-40","Other"
11937,"O75648","Mitochondrial tRNA-specific 2-thiouridylase 1","Enzyme"
11938,"O75431","Metaxin-2","Other"
11939,"E2RYF6","Mucin-22","Other"
11940,"Q9H195","Mucin-3B","Other"
11941,"P98088","Mucin-5AC","Other"
11942,"Q6W4X9","Mucin-6","Other"
11943,"Q8TAX7","Mucin-7","Other"
11944,"Q96DR8","Mucin-like protein 1","Other"
11945,"Q6ZUX7","LHFPL tetraspan subfamily member 2 protein","Other"
11946,"Q13136","Liprin-alpha-1","Other"
11947,"P0CW19","LIM and senescent cell antigen-like-containing domain protein 3","Other"
11948,"P0CW20","LIM and senescent cell antigen-like-containing domain protein 4","Other"
11949,"Q96S06","Lipase maturation factor 1","Enzyme"
11950,"Q99677","Lysophosphatidic acid receptor 4","GPCR"
11951,"Q14693","Phosphatidate phosphatase LPIN1","Enzyme"
11952,"Q8NC56","LEM domain-containing protein 2","Other"
11953,"P41159","Leptin","Other"
11954,"Q2VYF4","LETM1 domain-containing protein LETM2, mitochondrial","Other"
11955,"Q9UKN1","Mucin-12","Other"
11956,"Q08380","Galectin-3-binding protein","Other"
11957,"O75473","Leucine-rich repeat-containing G-protein coupled receptor 5","GPCR"
11958,"Q9H2C1","LIM/homeobox protein Lhx5","Transcription Factor"
11959,"Q9NQ69","LIM/homeobox protein Lhx9","Transcription Factor"
11960,"Q96FE5","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 1","Other"
11961,"O75023","Leukocyte immunoglobulin-like receptor subfamily B member 5","Other"
11962,"Q05469","Hormone-sensitive lipase","Enzyme"
11963,"Q6XZB0","Lipase member I","Enzyme"
11964,"P16233","Pancreatic triacylglycerol lipase","Enzyme"
11965,"A0A0A0MT76","Immunoglobulin lambda joining 1","Other"
11966,"Q96L50","Leucine-rich repeat protein 1","Other"
11967,"A6NI73","Leukocyte immunoglobulin-like receptor subfamily A member 5","Other"
11968,"Q969R5","Lethal(3)malignant brain tumor-like protein 2","Epigenetic"
11969,"Q8N448","Ligand of Numb protein X 2","Other"
11970,"Q8TE12","LIM homeobox transcription factor 1-alpha","Transcription Factor"
11971,"P58215","Lysyl oxidase homolog 3","Enzyme"
11972,"Q96BZ8","Leukocyte receptor cluster member 1","Other"
11973,"P48357","Leptin receptor","Other"
11974,"Q9ULD2","Microtubule-associated tumor suppressor 1","Other"
11975,"Q8N387","Mucin-15","Other"
11976,"Q685J3","Mucin-17","Other"
11977,"Q7Z5P9","Mucin-19","Other"
11978,"Q5SSG8","Mucin-21","Other"
11979,"Q3MIW9","Mucin-like protein 3","Other"
11980,"Q969G2","LIM/homeobox protein Lhx4","Transcription Factor"
11981,"P42702","Leukemia inhibitory factor receptor","Other"
11982,"Q9BT23","LIM domain-containing protein 2","Other"
11983,"P0C6S8","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 3","Other"
11984,"Q52LA3","Protein lin-52 homolog","Other"
11985,"Q8NG48","Protein Lines homolog 1","Other"
11986,"P48059","LIM and senescent cell antigen-like-containing domain protein 1","Other"
11987,"Q9Y234","Lipoyltransferase 1, mitochondrial","Enzyme"
11988,"Q8N6C8","Leukocyte immunoglobulin-like receptor subfamily A member 3","Other"
11989,"Q9Y468","Lethal(3)malignant brain tumor-like protein 1","TF-Epigenetic"
11990,"Q8NHL6","Leukocyte immunoglobulin-like receptor subfamily B member 1","Other"
11991,"Q8N423","Leukocyte immunoglobulin-like receptor subfamily B member 2","Other"
11992,"Q8IWU2","Serine/threonine-protein kinase LMTK2","Kinase"
11993,"P20700","Lamin-B1","Other"
11994,"O00214","Galectin-8","Other"
11995,"Q3ZCW2","Galectin-related protein","Other"
11996,"Q13505","Metaxin-1","Other"
11997,"O00292","Left-right determination factor 2","Other"
11998,"O43766","Lipoyl synthase, mitochondrial","Enzyme"
11999,"Q6ZQX7","Protein LIAT1","Other"
12000,"Q9H400","Lck-interacting transmembrane adapter 1","Other"
12001,"Q6UY18","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 4","Other"
12002,"P53667","LIM domain kinase 1","Kinase"
12003,"O14910","Protein lin-7 homolog A","Other"
12004,"Q5VXI9","Lipase member N","Enzyme"
12005,"Q8N485","Protein limb expression 1 homolog","Other"
12006,"Q9H0V9","VIP36-like protein","Other"
12007,"Q96JM7","Lethal(3)malignant brain tumor-like protein 3","Epigenetic"
12008,"Q8TAP4","LIM domain only protein 3","Other"
12009,"P55344","Lens fiber membrane intrinsic protein","Other"
12010,"P61968","LIM domain transcription factor LMO4","Other"
12011,"A0A1B0GTW7","Leishmanolysin-like peptidase 2","Other"
12012,"Q8WWI1","LIM domain only protein 7","Other"
12013,"Q86W92","Liprin-beta-1","Other"
12014,"Q8ND30","Liprin-beta-2","Other"
12015,"P11150","Hepatic triacylglycerol lipase","Enzyme"
12016,"Q17RR3","Pancreatic lipase-related protein 3","Enzyme"
12017,"Q5VXJ0","Lipase member K","Enzyme"
12018,"Q8TD35","Protein LKAAEAR1","Other"
12019,"P09960","Leukotriene A-4 hydrolase","Enzyme"
12020,"O75019","Leukocyte immunoglobulin-like receptor subfamily A member 1","Other"
12021,"Q8N149","Leukocyte immunoglobulin-like receptor subfamily A member 2","Other"
12022,"P02545","Prelamin-A/C","Other"
12023,"Q9NZU5","LIM and cysteine-rich domains protein 1","Other"
12024,"P29536","Leiomodin-1","Other"
12025,"Q1L5Z9","LON peptidase N-terminal domain and RING finger protein 2","Enzyme"
12026,"P09848","Lactase-phlorizin hydrolase","Enzyme"
12027,"Q8TAF5","Putative uncharacterized protein LQK1","Other"
12028,"Q86X40","Leucine-rich repeat-containing protein 28","Other"
12029,"Q05C16","Leucine-rich repeat-containing protein 63","Other"
12030,"O95777","U6 snRNA-associated Sm-like protein LSm8","Other"
12031,"O75581","Low-density lipoprotein receptor-related protein 6","Other"
12032,"Q8N8F7","Leucine-rich single-pass membrane protein 1","Other"
12033,"Q86VH4","Leucine-rich repeat transmembrane neuronal protein 4","Other"
12034,"Q6IPT4","NADH-cytochrome b5 reductase-like","Enzyme"
12035,"A2RRP1","Neuroblastoma-amplified sequence","Other"
12036,"Q16873","Leukotriene C4 synthase","Enzyme"
12037,"P09382","Galectin-1","Other"
12038,"Q8N0V4","Leucine-rich repeat LGI family member 2","Other"
12039,"Q86UP9","LHFPL tetraspan subfamily member 3 protein","Other"
12040,"Q8TAF8","LHFPL tetraspan subfamily member 5 protein","Other"
12041,"Q7L985","Leucine-rich repeat and immunoglobulin-like domain-containing nogo receptor-interacting protein 2","Other"
12042,"P38571","Lysosomal acid lipase/cholesteryl ester hydrolase","Enzyme"
12043,"P43034","Platelet-activating factor acetylhydrolase IB subunit alpha","Enzyme"
12044,"Q9HAT1","Protein ERGIC-53-like","Other"
12045,"P54315","Inactive pancreatic lipase-related protein 1","Enzyme"
12046,"Q9BU23","Lipase maturation factor 2","Enzyme"
12047,"Q6ZN17","Protein lin-28 homolog B","Transcription Factor"
12048,"O00370","LINE-1 retrotransposable element ORF2 protein","Other"
12049,"Q15345","Leucine-rich repeat-containing protein 41","Other"
12050,"Q96AG4","Leucine-rich repeat-containing protein 59","Other"
12051,"Q14392","Transforming growth factor beta activator LRRC32","Other"
12052,"Q7Z2Q7","Leucine-rich repeat-containing protein 70","Other"
12053,"Q5JTD7","Leucine-rich repeat-containing protein 73","Other"
12054,"Q8IUZ0","Leucine-rich repeat-containing protein 49","Other"
12055,"Q96NI6","Leucine-rich repeat and fibronectin type-III domain-containing protein 5","Other"
12056,"A6PVS8","Leucine-rich repeat and IQ domain-containing protein 3","Other"
12057,"Q96E66","Leucine-rich repeat-containing protein 51","Other"
12058,"Q7L1W4","Volume-regulated anion channel subunit LRRC8D","Other"
12059,"Q96PB8","Leucine-rich repeat-containing protein 3B","Other"
12060,"A6NM62","Leucine-rich repeat-containing protein 53","Other"
12061,"Q9H089","Large subunit GTPase 1 homolog","Enzyme"
12062,"Q8N112","Leucine-rich single-pass membrane protein 2","Other"
12063,"O00453","Leukocyte-specific transcript 1 protein","Other"
12064,"Q8WV07","Protein LTO1 homolog","Other"
12065,"Q96GA3","Protein LTV1 homolog","Other"
12066,"O94822","E3 ubiquitin-protein ligase listerin","Enzyme"
12067,"P0DP58","Ly-6/neurotoxin-like protein 1","Other"
12068,"P01709","Immunoglobulin lambda variable 2-8","Other"
12069,"O95711","Lymphocyte antigen 86","Other"
12070,"Q9Y6Y9","Lymphocyte antigen 96","Other"
12071,"O60299","Leucine zipper putative tumor suppressor 3","Other"
12072,"Q96S90","LysM and putative peptidoglycan-binding domain-containing protein 1","Other"
12073,"Q96QH8","Sperm acrosome-associated protein 5","Enzyme"
12074,"Q6P0N0","Mis18-binding protein 1","Other"
12075,"Q9BXT6","RNA helicase Mov10l1","Enzyme"
12076,"Q8N8E1","Putative uncharacterized protein encoded by MAPKAPK5-AS1","Other"
12077,"P33908","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","Enzyme"
12078,"O15525","Transcription factor MafG","Transcription Factor"
12079,"Q9UKM7","Endoplasmic reticulum mannosyl-oligosaccharide 1,2-alpha-mannosidase","Enzyme"
12080,"O75444","Transcription factor Maf","Transcription Factor"
12081,"Q9UPN3","Microtubule-actin cross-linking factor 1, isoforms 1/2/3/5","Other"
12082,"Q13021","MAL-like protein","Other"
12083,"Q13477","Mucosal addressin cell adhesion molecule 1","Other"
12084,"P27816","Microtubule-associated protein 4","Other"
12085,"Q9UPY8","Microtubule-associated protein RP/EB family member 3","Other"
12086,"O15232","Matrilin-3","Other"
12087,"Q8N386","Leucine-rich repeat-containing protein 25","Other"
12088,"Q9ULH4","Leucine-rich repeat and fibronectin type-III domain-containing protein 2","Other"
12089,"Q96FV0","Leucine-rich repeat-containing protein 46","Other"
12090,"Q9NT99","Leucine-rich repeat-containing protein 4B","Other"
12091,"Q9Y561","Low-density lipoprotein receptor-related protein 12","Other"
12092,"Q6P9F7","Volume-regulated anion channel subunit LRRC8B","Other"
12093,"A6NIV6","Leucine-rich repeat and IQ domain-containing protein 4","Other"
12094,"Q8N6Y2","Leucine-rich repeat-containing protein 17","Other"
12095,"Q14114","Low-density lipoprotein receptor-related protein 8","Other"
12096,"P10253","Lysosomal alpha-glucosidase","Enzyme"
12097,"Q6UWN5","Ly6/PLAUR domain-containing protein 5","Other"
12098,"Q86Y78","Ly6/PLAUR domain-containing protein 6","Other"
12099,"Q56UN5","Mitogen-activated protein kinase kinase kinase 19","Kinase"
12100,"Q02779","Mitogen-activated protein kinase kinase kinase 10","Kinase"
12101,"Q13233","Mitogen-activated protein kinase kinase kinase 1","Kinase"
12102,"Q96DS6","Membrane-spanning 4-domains subfamily A member 6E","Other"
12103,"P43365","Melanoma-associated antigen 12","Other"
12104,"P43355","Melanoma-associated antigen 1","Other"
12105,"Q8TD91","Melanoma-associated antigen C3","Other"
12106,"P43358","Melanoma-associated antigen 4","Other"
12107,"P43362","Melanoma-associated antigen 9","Other"
12108,"Q96JG8","Melanoma-associated antigen D4","Other"
12109,"O43318","Mitogen-activated protein kinase kinase kinase 7","Kinase"
12110,"A6NNE9","E3 ubiquitin-protein ligase MARCH11","Enzyme"
12111,"P46821","Microtubule-associated protein 1B","Other"
12112,"P04201","Proto-oncogene Mas","GPCR"
12113,"Q14657","EKC/KEOPS complex subunit LAGE3","Other"
12114,"P25391","Laminin subunit alpha-1","Other"
12115,"Q9UNZ5","Leydig cell tumor 10 kDa protein homolog","Other"
12116,"O75387","Large neutral amino acids transporter small subunit 3","Transporter"
12117,"Q6UX15","Layilin","Other"
12118,"Q9UQV4","Lysosome-associated membrane glycoprotein 3","Other"
12119,"Q9Y383","Putative RNA-binding protein Luc7-like 2","Other"
12120,"Q5TA82","Late cornified envelope protein 2D","Other"
12121,"Q8WX39","Epididymal-specific lipocalin-9","Other"
12122,"P06239","Tyrosine-protein kinase Lck","Kinase"
12123,"Q9Y5L5","Lens epithelial cell protein LEP503","Other"
12124,"Q3B8N2","Galectin-9B","Other"
12125,"Q765P7","MTSS1-like protein","Other"
12126,"P16150","Leukosialin","Other"
12127,"Q9BWQ8","Protein lifeguard 2","Other"
12128,"Q8NES3","Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe","Enzyme"
12129,"Q8N145","Leucine-rich repeat LGI family member 3","Other"
12130,"Q99538","Legumain","Enzyme"
12131,"Q9HAP6","Protein lin-7 homolog B","Other"
12132,"P07098","Gastric triacylglycerol lipase","Enzyme"
12133,"Q5W064","Lipase member J","Enzyme"
12134,"Q99732","Lipopolysaccharide-induced tumor necrosis factor-alpha factor","Transcription Factor"
12135,"P59901","Leukocyte immunoglobulin-like receptor subfamily A member 4","Other"
12136,"Q2I0M4","Leucine-rich repeat-containing protein 26","Ion Channel"
12137,"Q96JA1","Leucine-rich repeats and immunoglobulin-like domains protein 1","Other"
12138,"O95237","Lecithin retinol acyltransferase","Enzyme"
12139,"Q6UXM1","Leucine-rich repeats and immunoglobulin-like domains protein 3","Other"
12140,"Q15048","Leucine-rich repeat-containing protein 14","Other"
12141,"O75096","Low-density lipoprotein receptor-related protein 4","Other"
12142,"Q9Y4Z0","U6 snRNA-associated Sm-like protein LSm4","Other"
12143,"Q9UFC0","Leucine-rich repeat and WD repeat-containing protein 1","Other"
12144,"Q8N2S1","Latent-transforming growth factor beta-binding protein 4","Other"
12145,"P01717","Immunoglobulin lambda variable 3-25","Other"
12146,"A0A075B6K5","Immunoglobulin lambda variable 3-9","Other"
12147,"Q86TE4","Leucine zipper protein 2","Other"
12148,"A0A0B4J1U3","Immunoglobulin lambda variable 1-36","Other"
12149,"P01700","Immunoglobulin lambda variable 1-47","Other"
12150,"O43325","LYR motif-containing protein 1","Other"
12151,"Q14210","Lymphocyte antigen 6D","Other"
12152,"A0A075B6K2","Immunoglobulin lambda variable 3-12","Other"
12153,"A0A075B6K0","Immunoglobulin lambda variable 3-16","Other"
12154,"O95372","Acyl-protein thioesterase 2","Enzyme"
12155,"P0DM35","Metallothionein 1H-like protein 1","Other"
12156,"O60336","Mitogen-activated protein kinase-binding protein 1","Enzyme"
12157,"O43920","NADH dehydrogenase [ubiquinone] iron-sulfur protein 5","Enzyme"
12158,"Q9H0U3","Magnesium transporter protein 1","Other"
12159,"Q6ZN28","Metastasis-associated in colon cancer protein 1","Other"
